編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240,月線+DI(1),月線RSI(4),日線威廉(50),日線RSI(60),週線VR(2),月線VR(2)
137,5314,世紀*,其他,42.55,9.95,117.51,95.21,-4.5,149.63,165.94,14407,53.97,38.7,19.56,21.8,6.41,85.19,0.0,68.16,230.05,9999.0
138,6187,萬潤,半導體業,1330.0,-3.97,18.06,77.93,5.13,103.06,38.46,3601,1600.0,1385.0,1126.57,747.46,0.0,78.27,19.55,54.86,69.89,430.72
139,3518,柏騰,電子工業,29.25,0.52,1.98,16.42,-2.42,-18.87,-21.41,-573,33.35,29.1,28.68,25.12,62.9,59.77,55.91,51.36,790.03,9999.0
140,3532,台勝科,電子工業,424.0,6.53,12.15,106.34,2.21,29.28,17.32,11782,485.5,398.0,378.06,205.49,32.0,79.08,42.95,56.19,277.76,9999.0
141,6829,千附精密,半導體業,254.0,5.39,17.84,61.88,35.02,56.52,36.33,1592,284.5,241.0,215.54,156.91,25.37,73.11,11.01,55.68,9999.0,9999.0
142,2254,巨鎧精密-創,汽車工業,65.2,3.33,7.99,4.6,-7.57,-89.33,-79.16,-650,65.4,63.1,60.38,62.33,53.85,55.78,0.0,53.33,9999.0,9999.0
143,3693,營邦,電腦及週邊設備業,700.0,4.63,35.73,61.91,3.42,171.01,20.47,4832,797.71,669.0,515.71,432.35,89.57,74.78,4.71,58.81,9999.0,9999.0
144,3441,聯一光,光電業,143.5,8.71,57.88,185.15,-14.52,0.86,27.61,-369,202.2,132.0,90.89,50.32,17.07,97.66,0.61,63.97,9999.0,9999.0
145,3591,艾笛森,光電業,23.65,1.07,3.35,13.18,0.63,44.13,9.62,678,29.25,23.4,22.88,20.9,76.36,58.93,48.17,52.13,155.25,9999.0
146,3714,富采,光電業,63.7,-1.85,7.3,30.53,-9.06,14.23,5.55,11829,76.7,64.9,59.37,48.8,56.16,61.39,20.04,52.71,198.77,9999.0
147,3443,創意,電子工業,5925.0,-0.59,21.96,83.69,1.23,111.02,100.19,2325,7485.0,5960.0,4858.0,3225.49,14.81,74.35,17.04,57.6,56.68,445.54
148,3498,陽程,其他電子類,191.0,0.79,36.76,119.2,33.55,712.58,116.57,3919,294.0,189.5,139.66,87.13,37.5,71.21,22.2,60.39,368.5,211.99
149,2887,台新新光金,金融保險,42.4,-0.93,20.06,71.4,1.78,79.23,123.55,127292,45.25,42.8,35.32,24.74,94.44,95.48,5.72,67.3,9999.0,9999.0
